,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
23,0.07,0.03,1.38,1.08,0.06,0.25,54.43,1.0,11.4,0.04,0.07,0.03,0.3,0.43,1.3,0.002,0.08,0.07,0.15,0.004,0.02,0.52,0.002,0.005,0.001,0.007,0.01,0.04,0.02,0.006,0.001,0.003,0.0002,0.003,0.001,0.001,0.003,0.001,0.002,0.0001,0.001,0.0001,0.001,0.0005,0.001,0.0002,0.004,0.01,1e-05,1e-05
24,0.07,0.03,1.38,1.08,0.06,0.25,54.43,1.0,11.4,0.04,0.07,0.03,0.3,0.43,1.3,0.002,0.08,0.07,0.15,0.004,0.02,0.52,0.002,0.005,0.001,0.007,0.01,0.04,0.02,0.006,0.001,0.003,0.0002,0.003,0.001,0.001,0.003,0.001,0.002,0.0001,0.001,0.0001,0.001,0.0005,0.001,0.0002,0.004,0.01,1e-05,1e-05
25,0.07,0.03,1.38,1.08,0.06,0.25,54.43,1.0,11.4,0.04,0.07,0.03,0.3,0.43,1.3,0.002,0.08,0.07,0.15,0.004,0.02,0.52,0.002,0.005,0.001,0.007,0.01,0.04,0.02,0.006,0.001,0.003,0.0002,0.003,0.001,0.001,0.003,0.001,0.002,0.0001,0.001,0.0001,0.001,0.0005,0.001,0.0002,0.004,0.01,1e-05,1e-05
26,0.07,0.03,1.38,1.08,0.06,0.25,54.43,1.0,11.4,0.04,0.07,0.03,0.3,0.43,1.3,0.002,0.08,0.07,0.15,0.004,0.02,0.52,0.002,0.005,0.001,0.007,0.01,0.04,0.02,0.006,0.001,0.003,0.0002,0.003,0.001,0.001,0.003,0.001,0.002,0.0001,0.001,0.0001,0.001,0.0005,0.001,0.0002,0.004,0.01,1e-05,1e-05
27,0.07,0.03,1.38,1.08,0.06,0.25,54.43,1.0,11.4,0.04,0.07,0.03,0.3,0.43,1.3,0.002,0.08,0.07,0.15,0.004,0.02,0.52,0.002,0.005,0.001,0.007,0.01,0.04,0.02,0.006,0.001,0.003,0.0002,0.003,0.001,0.001,0.003,0.001,0.002,0.0001,0.001,0.0001,0.001,0.0005,0.001,0.0002,0.004,0.01,1e-05,1e-05
28,0.07,0.03,1.38,1.08,0.06,0.25,54.43,1.0,11.4,0.04,0.07,0.03,0.3,0.43,1.3,0.002,0.08,0.07,0.15,0.004,0.02,0.52,0.002,0.005,0.001,0.007,0.01,0.04,0.02,0.006,0.001,0.003,0.0002,0.003,0.001,0.001,0.003,0.001,0.002,0.0001,0.001,0.0001,0.001,0.0005,0.001,0.0002,0.004,0.01,1e-05,1e-05
29,0.07,0.03,1.38,1.08,0.06,0.25,54.43,1.0,11.4,0.04,0.07,0.03,0.3,0.43,1.3,0.002,0.08,0.07,0.15,0.004,0.02,0.52,0.002,0.005,0.001,0.007,0.01,0.04,0.02,0.006,0.001,0.003,0.0002,0.003,0.001,0.001,0.003,0.001,0.002,0.0001,0.001,0.0001,0.001,0.0005,0.001,0.0002,0.004,0.01,1e-05,1e-05
30,0.07,0.03,1.38,1.08,0.06,0.25,54.43,1.0,11.4,0.04,0.07,0.03,0.3,0.43,1.3,0.002,0.08,0.07,0.15,0.004,0.02,0.52,0.002,0.005,0.001,0.007,0.01,0.04,0.02,0.006,0.001,0.003,0.0002,0.003,0.001,0.001,0.003,0.001,0.002,0.0001,0.001,0.0001,0.001,0.0005,0.001,0.0002,0.004,0.01,1e-05,1e-05
31,0.07,0.03,1.38,1.08,0.06,0.25,54.43,1.0,11.4,0.04,0.07,0.03,0.3,0.43,1.3,0.002,0.08,0.07,0.15,0.004,0.02,0.52,0.002,0.005,0.001,0.007,0.01,0.04,0.02,0.006,0.001,0.003,0.0002,0.003,0.001,0.001,0.003,0.001,0.002,0.0001,0.001,0.0001,0.001,0.0005,0.001,0.0002,0.004,0.01,1e-05,1e-05
32,0.07,0.03,1.38,1.08,0.06,0.25,54.43,1.0,11.4,0.04,0.07,0.03,0.3,0.43,1.3,0.002,0.08,0.07,0.15,0.004,0.02,0.52,0.002,0.005,0.001,0.007,0.01,0.04,0.02,0.006,0.001,0.003,0.0002,0.003,0.001,0.001,0.003,0.001,0.002,0.0001,0.001,0.0001,0.001,0.0005,0.001,0.0002,0.004,0.01,1e-05,1e-05
33,0.07,0.03,1.38,1.08,0.06,0.25,54.43,1.0,11.4,0.04,0.07,0.03,0.3,0.43,1.3,0.002,0.08,0.07,0.15,0.004,0.02,0.52,0.002,0.005,0.001,0.007,0.01,0.04,0.02,0.006,0.001,0.003,0.0002,0.003,0.001,0.001,0.003,0.001,0.002,0.0001,0.001,0.0001,0.001,0.0005,0.001,0.0002,0.004,0.01,1e-05,1e-05
34,0.07,0.03,1.38,1.08,0.06,0.25,54.43,1.0,11.4,0.04,0.07,0.03,0.3,0.43,1.3,0.002,0.08,0.07,0.15,0.004,0.02,0.52,0.002,0.005,0.001,0.007,0.01,0.04,0.02,0.006,0.001,0.003,0.0002,0.003,0.001,0.001,0.003,0.001,0.002,0.0001,0.001,0.0001,0.001,0.0005,0.001,0.0002,0.004,0.01,1e-05,1e-05
35,0.07,0.03,1.38,1.08,0.06,0.25,54.43,1.0,11.4,0.04,0.07,0.03,0.3,0.43,1.3,0.002,0.08,0.07,0.15,0.004,0.02,0.52,0.002,0.005,0.001,0.007,0.01,0.04,0.02,0.006,0.001,0.003,0.0002,0.003,0.001,0.001,0.003,0.001,0.002,0.0001,0.001,0.0001,0.001,0.0005,0.001,0.0002,0.004,0.01,1e-05,1e-05
36,0.07,0.03,1.38,1.08,0.06,0.25,54.43,1.0,11.4,0.04,0.07,0.03,0.3,0.43,1.3,0.002,0.08,0.07,0.15,0.004,0.02,0.52,0.002,0.005,0.001,0.007,0.01,0.04,0.02,0.006,0.001,0.003,0.0002,0.003,0.001,0.001,0.003,0.001,0.002,0.0001,0.001,0.0001,0.001,0.0005,0.001,0.0002,0.004,0.01,1e-05,1e-05
37,0.07,0.03,1.38,1.08,0.06,0.25,54.43,1.0,11.4,0.04,0.07,0.03,0.3,0.43,1.3,0.002,0.08,0.07,0.15,0.004,0.02,0.52,0.002,0.005,0.001,0.007,0.01,0.04,0.02,0.006,0.001,0.003,0.0002,0.003,0.001,0.001,0.003,0.001,0.002,0.0001,0.001,0.0001,0.001,0.0005,0.001,0.0002,0.004,0.01,1e-05,1e-05
38,0.07,0.03,1.38,1.08,0.06,0.25,54.43,1.0,11.4,0.04,0.07,0.03,0.3,0.43,1.3,0.002,0.08,0.07,0.15,0.004,0.02,0.52,0.002,0.005,0.001,0.007,0.01,0.04,0.02,0.006,0.001,0.003,0.0002,0.003,0.001,0.001,0.003,0.001,0.002,0.0001,0.001,0.0001,0.001,0.0005,0.001,0.0002,0.004,0.01,1e-05,1e-05
39,0.07,0.03,1.38,1.08,0.06,0.25,54.43,1.0,11.4,0.04,0.07,0.03,0.3,0.43,1.3,0.002,0.08,0.07,0.15,0.004,0.02,0.52,0.002,0.005,0.001,0.007,0.01,0.04,0.02,0.006,0.001,0.003,0.0002,0.003,0.001,0.001,0.003,0.001,0.002,0.0001,0.001,0.0001,0.001,0.0005,0.001,0.0002,0.004,0.01,1e-05,1e-05
40,0.07,0.03,1.38,1.08,0.06,0.25,54.43,1.0,11.4,0.04,0.07,0.03,0.3,0.43,1.3,0.002,0.08,0.07,0.15,0.004,0.02,0.52,0.002,0.005,0.001,0.007,0.01,0.04,0.02,0.006,0.001,0.003,0.0002,0.003,0.001,0.001,0.003,0.001,0.002,0.0001,0.001,0.0001,0.001,0.0005,0.001,0.0002,0.004,0.01,1e-05,1e-05
41,0.07,0.03,1.38,1.08,0.06,0.25,54.43,1.0,11.4,0.04,0.07,0.03,0.3,0.43,1.3,0.002,0.08,0.07,0.15,0.004,0.02,0.52,0.002,0.005,0.001,0.007,0.01,0.04,0.02,0.006,0.001,0.003,0.0002,0.003,0.001,0.001,0.003,0.001,0.002,0.0001,0.001,0.0001,0.001,0.0005,0.001,0.0002,0.004,0.01,1e-05,1e-05
42,0.07,0.03,1.38,1.08,0.06,0.25,54.43,1.0,11.4,0.04,0.07,0.03,0.3,0.43,1.3,0.002,0.08,0.07,0.15,0.004,0.02,0.52,0.002,0.005,0.001,0.007,0.01,0.04,0.02,0.006,0.001,0.003,0.0002,0.003,0.001,0.001,0.003,0.001,0.002,0.0001,0.001,0.0001,0.001,0.0005,0.001,0.0002,0.004,0.01,1e-05,1e-05
43,0.07,0.03,1.38,1.08,0.06,0.25,54.43,1.0,11.4,0.04,0.07,0.03,0.3,0.43,1.3,0.002,0.08,0.07,0.15,0.004,0.02,0.52,0.002,0.005,0.001,0.007,0.01,0.04,0.02,0.006,0.001,0.003,0.0002,0.003,0.001,0.001,0.003,0.001,0.002,0.0001,0.001,0.0001,0.001,0.0005,0.001,0.0002,0.004,0.01,1e-05,1e-05
