,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
48,4.16,0.07,20090.0,14960.0,44580.0,173700.0,383.0,72.7,287.0,25.8,428.0,217.1,3.5,16.68,52760.0,2.03,101.9,0.06,175.1,15.3,0.02,55.0,0.05,0.46,0.01,0.0,0.0,0.93,0.0,4.21,0.01,0.01,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.01,0.14,0.06,0.09,0.0,0.0,0.13,0.0,0.0
49,4.34,0.23,19730.0,16060.0,44530.0,168400.0,318.0,89.0,621.0,32.0,467.0,210.2,5.45,20.18,52200.0,2.75,117.9,0.18,164.6,14.09,0.06,71.3,0.12,0.4,0.01,0.0,0.0,0.86,0.0,5.54,0.04,0.08,0.01,0.05,0.01,0.01,0.02,0.0,0.02,0.0,0.02,0.01,0.1,0.04,0.07,0.01,0.0,0.25,0.0,0.0
50,10.29,12.5,19870.0,18680.0,41340.0,149800.0,385.0,277.0,3160.0,148.5,3930.0,1777.0,3080.0,23.36,90600.0,208.8,2730.0,0.35,522.0,43.6,0.04,1005.0,0.48,0.7,0.01,0.0,0.0,1.12,0.05,4.12,0.19,0.39,0.05,0.15,0.05,0.03,0.05,0.01,0.09,0.02,0.04,0.0,0.04,0.01,0.05,0.0,0.0,1.5,0.11,0.01
51,10.5,3.79,19840.0,19270.0,40330.0,147400.0,341.0,295.1,3000.0,137.8,4830.0,1778.0,2000.0,25.1,90600.0,202.0,2455.0,0.42,506.0,46.3,0.07,977.0,0.22,0.58,0.01,0.06,0.0,1.18,0.06,3.81,0.17,0.29,0.03,0.08,0.03,0.03,0.05,0.01,0.04,0.01,0.02,0.0,0.01,0.0,0.04,0.0,0.0,1.2,0.05,0.01
52,5.26,5.86,19530.0,19450.0,36520.0,144900.0,347.0,501.0,3100.0,260.7,3020.0,3194.0,2572.0,30.6,117300.0,172.2,1700.0,0.5,496.0,74.9,0.1,1078.0,0.3,0.41,0.02,0.05,0.0,10.22,0.08,7.1,0.21,0.38,0.03,0.14,0.04,0.03,0.06,0.01,0.05,0.01,0.03,0.0,0.02,0.0,0.08,0.01,0.0,1.6,0.08,0.01
53,7.73,2.72,19190.0,17880.0,37630.0,146300.0,428.0,307.0,2800.0,118.0,3050.0,2110.0,2950.0,22.4,95000.0,200.1,3080.0,0.48,485.0,54.8,0.09,925.0,0.21,0.53,0.01,0.18,0.0,2.63,0.07,3.96,0.13,0.19,0.02,0.08,0.03,0.02,0.03,0.01,0.03,0.01,0.02,0.0,0.02,0.0,0.05,0.01,0.0,2.2,0.05,0.01
54,4.64,5.75,19210.0,19270.0,35830.0,141700.0,309.0,515.0,2890.0,260.0,3000.0,3250.0,2659.0,30.6,117300.0,163.9,1664.0,0.6,479.0,75.8,0.11,1040.0,0.23,0.39,0.05,0.23,0.0,11.0,0.12,6.4,0.23,0.38,0.04,0.12,0.02,0.02,0.05,0.0,0.04,0.01,0.01,0.0,0.02,0.0,0.09,0.01,0.0,2.5,0.05,0.01
55,10.75,3.42,19950.0,19830.0,40700.0,144600.0,285.0,287.0,2434.0,124.7,3470.0,1970.0,4410.0,21.18,87400.0,202.4,3250.0,0.58,552.0,51.8,0.06,772.0,0.25,0.67,0.01,0.08,0.0,1.61,0.05,3.3,0.12,0.27,0.02,0.08,0.03,0.02,0.05,0.01,0.06,0.01,0.02,0.0,0.02,0.0,0.03,0.0,0.0,1.4,0.08,0.01
56,6.95,1.69,20340.0,19330.0,38800.0,145400.0,290.0,373.9,3960.0,104.5,3851.0,2164.0,3590.0,18.9,97900.0,200.7,3195.0,0.27,484.9,55.9,0.06,1298.0,0.22,0.6,0.01,0.02,0.0,1.04,0.03,2.38,0.2,0.31,0.03,0.1,0.02,0.02,0.04,0.01,0.06,0.01,0.02,0.0,0.01,0.0,0.04,0.0,0.0,2.2,0.05,0.01
57,5.94,8.67,20070.0,19780.0,35510.0,141100.0,245.0,492.0,3290.0,331.0,2950.0,3600.0,3040.0,35.4,116100.0,141.2,1840.0,0.64,484.0,79.5,0.22,1183.0,0.18,1.28,0.07,2.5,0.0,12.3,0.11,5.16,0.31,0.57,0.06,0.19,0.05,0.02,0.04,0.01,0.03,0.01,0.02,0.0,0.02,0.0,0.11,0.03,0.0,1.4,0.05,0.01
